# submitted_item	validated_id	current_symbol
CG1004	FBgn0004635	rho
CG1009	FBgn0261243	Psa
CG1017	FBgn0035294	Mfap1
CG1019	FBgn0014863	Mlp84B
CG1021	FBgn0037443	Dmtn
CG1028	FBgn0260642	Antp
CG1030	FBgn0003339	Scr
CG1031	FBgn0015568	alpha-Est1
CG1041	FBgn0037440	CRAT
CG1046	FBgn0004053	zen
CG1048	FBgn0004054	zen2
CG1049	FBgn0041342	Pcyt1
CG1056	FBgn0087012	5-HT2A
CG1057	FBgn0037262	MED31
CG1058	FBgn0022981	rpk
CG1059	FBgn0087013	Karybeta3
CG1062	FBgn0083963	Nlg3
CG1063	FBgn0010051	Itpr
CG1064	FBgn0011715	Snr1
CG1065	FBgn0004888	Scsalpha1
CG1066	FBgn0262593	Shab
CG1070	FBgn0261238	Alh
CG1071	FBgn0024371	E2f2
CG1072	FBgn0013751	Awh
CG1074	FBgn0037250	CG1074
CG1075	FBgn0037397	CR1075
CG1078	FBgn0037255	Fip1
CG1081	FBgn0041191	Rheb
CG1082	FBgn0015572	alpha-Est4
CG1084	FBgn0037240	Cont
CG1086	FBgn0264574	Glut1
CG1088	FBgn0283535	Vha26
CG1089	FBgn0261393	alpha-Est5
CG1090	FBgn0037238	CG1090
CG1091	FBgn0037470	Tailor
CG1093	FBgn0261261	plx
CG1098	FBgn0027497	Madm
CG1099	FBgn0023388	Dap160
CG1100	FBgn0028690	Rpn5
CG1102	FBgn0027930	MP1
CG1104	FBgn0037467	Ufl1
CG1105	FBgn0037465	CG1105
CG1106	FBgn0010225	Gel
CG1107	FBgn0037218	aux
CG1108	FBgn0015574	alpha-Est6
CG1109	FBgn0046222	Wdr33
CG1112	FBgn0015575	alpha-Est7
CG1114	FBgn0264785	Hph
CG1116	FBgn0037297	CG1116
CG1119	FBgn0004913	Gnf1
CG1121	FBgn0015576	alpha-Est8
CG1126	FBgn0037280	BBS5
CG1128	FBgn0015577	alpha-Est9
CG1129	FBgn0037279	CG1129
CG1130	FBgn0004880	scrt
CG1131	FBgn0015569	alpha-Est10
