# submitted_item	validated_id	current_symbol
CG2146	FBgn0261397	didum
CG1212	FBgn0035101	p130CAS
CG1412	FBgn0031118	RhoGAP19D
CG1804	FBgn0039862	kek6
CG2092	FBgn0261385	scra
CG32659	FBgn0267001	Ten-a
CG32659	FBgn0267001	Ten-a
CG2534	FBgn0259212	cno
CG2977	FBgn0027106	Inx7
CG3849	FBgn0063485	Lasp
CG3885	FBgn0266669	Sec3
CG4003	FBgn0040078	pont
CG4063	FBgn0263933	ebi
CG4254	FBgn0011726	tsr
CG4393	FBgn0039075	CG4393
CG4547	FBgn0029907	Atx-1
CG4722	FBgn0000180	bib
CG4889	FBgn0284084	wg
CG4977	FBgn0015400	kek2
CG5022	FBgn0032225	CG5022
CG4926	FBgn0010407	Ror
CG4931	FBgn0038320	Cyfip
CG5166	FBgn0041188	Atx2
CG5336	FBgn0032409	Ced-12
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG5341	FBgn0266671	Sec6
CG32096	FBgn0041096	rols
CG5902	FBgn0039136	CG5902
CG33106	FBgn0043884	mask
CG6625	FBgn0250791	alphaSnap
CG6811	FBgn0036257	RhoGAP68F
CG7954	FBgn0020249	stck
CG8031	FBgn0038110	CG8031
CG8222	FBgn0032006	Pvr
CG30084	FBgn0265991	Zasp52
CG8390	FBgn0259978	vlc
CG8811	FBgn0033757	muskelin
CG8779	FBgn0262509	nrm
CG8978	FBgn0001961	Arpc1
CG9115	FBgn0025742	mtm
CG9121	FBgn0031675	CG9121
CG9351	FBgn0024555	flfl
CG9366	FBgn0014380	RhoL
CG9493	FBgn0031799	Pez
CG9494	FBgn0032074	Tsp29Fa
CG9496	FBgn0032075	Tsp29Fb
CG9426	FBgn0032485	CG9426
CG9446	FBgn0265935	coro
CG9553	FBgn0000308	chic
CG9750	FBgn0040075	rept
CG9881	FBgn0031437	Arpc5
CG33101	FBgn0266464	Nsf2
CG31999	FBgn0051999	CG31999
CG10261	FBgn0261854	aPKC
CG10263	FBgn0032812	Hakai
CG10915	FBgn0034308	Naus
CG31999	FBgn0051999	CG31999
CG11848	FBgn0039282	Bili
CG12051	FBgn0000043	Act42A
CG12497	FBgn0284408	trol
CG12489	FBgn0260866	dnr1
CG6741	FBgn0000008	a
CG32796	FBgn0040388	boi
CG32387	FBgn0265296	Dscam2
CG31665	FBgn0051665	wry
CG17309	FBgn0262081	Csk
CG18290	FBgn0000046	Act87E
CG33149	FBgn0259209	Mlp60A
CG2595	FBgn0045843	RacGAP84C
CG1075	FBgn0037397	CR1075
CG1119	FBgn0004913	Gnf1
CG1130	FBgn0004880	scrt
CG1109	FBgn0046222	Wdr33
CG1234	FBgn0037489	CG1234
CG1135	FBgn0263832	Rcd5
CG1404	FBgn0020255	Ran
CG1379	FBgn0083981	RunxA
CG1528	FBgn0028968	gammaCOP
CG32523	FBgn0052523	CG32523
CG1542	FBgn0039828	CG1542
CG1796	FBgn0030365	Tango4
CG1703	FBgn0030321	CG1703
CG1799	FBgn0003204	ras
CG1689	FBgn0002576	lz
CG1785	FBgn0030061	CG1785
CG1746	FBgn0039830	ATPsynC
CG1832	FBgn0032979	Clamp
CG11138	FBgn0030400	Pits
CG1749	FBgn0030305	Uba5
CG1864	FBgn0014859	Hr38
CG1698	FBgn0033443	CG1698
CG1913	FBgn0003884	alphaTub84B
CG1994	FBgn0027330	l(1)G0020
CG1921	FBgn0014388	sty
CG2146	FBgn0261397	didum
CG1212	FBgn0035101	p130CAS
CG1412	FBgn0031118	RhoGAP19D
CG1804	FBgn0039862	kek6
CG2092	FBgn0261385	scra
CG32659	FBgn0267001	Ten-a
CG32659	FBgn0267001	Ten-a
CG2534	FBgn0259212	cno
CG2977	FBgn0027106	Inx7
CG3849	FBgn0063485	Lasp
CG3885	FBgn0266669	Sec3
CG4003	FBgn0040078	pont
CG4063	FBgn0263933	ebi
